37.120.192.154,8080,anonymous,yes
212.24.53.118,3128,elite proxy,yes
200.69.236.62,8080,anonymous,no
185.205.209.198,80,anonymous,no
191.232.233.45,3128,anonymous,no
18.140.68.161,8888,transparent,no
144.76.214.154,1080,elite proxy,yes
120.89.61.188,8080,elite proxy,yes
176.119.134.39,23500,elite proxy,yes
173.212.202.65,80,elite proxy,no
178.167.77.79,53281,elite proxy,yes
176.119.134.46,23500,elite proxy,yes
109.188.74.95,8080,elite proxy,no
88.198.33.232,1080,elite proxy,yes
185.103.247.165,8080,transparent,no
188.40.183.191,1080,elite proxy,yes
212.154.58.99,37470,transparent,no
18.224.225.175,80,elite proxy,no
191.229.31.135,8080,elite proxy,no
103.21.160.10,35101,elite proxy,yes
169.57.157.146,80,elite proxy,no
201.55.164.229,3128,anonymous,yes
119.81.199.87,8123,elite proxy,no
144.217.101.242,3129,elite proxy,yes
89.42.133.58,8080,elite proxy,yes
190.144.116.34,36742,anonymous,yes
85.10.219.99,1080,elite proxy,yes
111.92.164.249,55184,anonymous,yes
109.72.230.78,53281,anonymous,yes
183.89.156.66,8213,anonymous,no
187.111.160.29,40098,elite proxy,no
94.130.179.24,8008,elite proxy,no
128.199.244.47,44344,elite proxy,no
47.52.231.140,8080,anonymous,no
103.119.145.138,8080,elite proxy,yes
103.251.57.23,60083,elite proxy,no
177.37.161.4,41819,elite proxy,no
88.99.10.248,1080,elite proxy,no
62.152.75.110,50287,elite proxy,no
3.81.80.170,3128,elite proxy,no
195.191.250.38,3128,elite proxy,no
122.102.39.155,8080,anonymous,no
102.223.208.14,8080,anonymous,yes
110.74.221.18,53348,elite proxy,no
41.217.219.53,31398,elite proxy,yes
128.199.93.33,3128,transparent,no
82.119.170.106,8080,elite proxy,yes
103.105.77.15,8080,anonymous,no
157.119.57.84,8080,anonymous,no
191.5.0.79,53281,elite proxy,no
186.232.48.98,42177,elite proxy,no
103.205.128.41,43037,transparent,no
45.64.179.91,53281,transparent,no
13.59.201.1,3128,transparent,no
118.99.103.212,8080,transparent,no
170.254.223.178,8080,transparent,no
134.35.180.212,8080,transparent,no
200.196.35.130,20183,transparent,no
191.54.128.218,3128,transparent,no
112.78.161.161,8080,transparent,no
143.202.72.97,20183,transparent,no
178.239.151.25,8080,transparent,no
97.73.2.94,87,transparent,no
104.148.76.143,3128,elite proxy,no
197.234.55.169,8083,elite proxy,no
104.148.76.157,3128,elite proxy,no
5.59.141.152,61981,elite proxy,no
5.58.85.32,38022,elite proxy,no
188.165.16.230,3129,elite proxy,no
188.40.183.184,1080,elite proxy,no
144.76.214.155,1080,elite proxy,no
125.26.99.212,51591,elite proxy,no
43.225.67.35,53905,elite proxy,no
167.172.99.171,8888,anonymous,yes
80.191.162.2,3128,anonymous,yes
118.99.100.173,8080,elite proxy,yes
103.88.132.242,34722,elite proxy,yes
217.23.69.146,8080,anonymous,yes
185.18.52.178,3128,elite proxy,yes
95.56.145.244,8080,elite proxy,yes
