,id,title,href,price_50_average
102,JSMGX,Janus Henderson Triton Fund Class I,/quote/JSMGX?p=JSMGX,23.48
103,JGMRX,Janus Henderson Triton Fund Class R,/quote/JGMRX?p=JGMRX,21.77
104,AVEGX,Ave Maria Growth Fund,/quote/AVEGX?p=AVEGX,31.47
105,JGRCX,Janus Henderson Enterprise Fund Class C,/quote/JGRCX?p=JGRCX,99.49
106,FOVAX,First Trust/Confluence Small Cap Value Fund Class A,/quote/FOVAX?p=FOVAX,24.21
107,TAMVX,T. Rowe Price Mid-Cap Value Fund Advisor Class,/quote/TAMVX?p=TAMVX,20.91
108,JANIX,Janus Henderson Triton Fund Class D,/quote/JANIX?p=JANIX,23.30
109,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,/quote/DTSGX?p=DTSGX,21.14
110,JGMIX,Janus Henderson Triton Fund Class S,/quote/JGMIX?p=JGMIX,22.36
111,WSMGX,Wilshire Small Company Growth Portfolio Fund Class Institutional,/quote/WSMGX?p=WSMGX,23.19
112,WBSNX,William Blair Small Cap Growth Fund Class N,/quote/WBSNX?p=WBSNX,21.47
113,JGMNX,Janus Henderson Triton Fund Class N,/quote/JGMNX?p=JGMNX,23.62
114,BREFX,Baron Real Estate Fund Retail Shares,/quote/BREFX?p=BREFX,21.47
115,FIMPX,Nuveen Small Cap Growth Opportunities Fund Class I,/quote/FIMPX?p=FIMPX,22.61
116,NNGAX,Nuveen Large-Cap Value Fund Class A,/quote/NNGAX?p=NNGAX,17.02
117,WBSIX,William Blair Small Cap Growth Fund Class I,/quote/WBSIX?p=WBSIX,24.15
118,FSMDX,Fidelity Mid Cap Index Fund,/quote/FSMDX?p=FSMDX,18.11
119,FMPFX,Nuveen Small Cap Growth Opportunities Fund Class R6,/quote/FMPFX?p=FMPFX,22.78
120,NNGRX,Nuveen Large-Cap Value Fund Class I,/quote/NNGRX?p=NNGRX,17.10
121,QTSRX,AQR TM Small Cap Momentum Style Fund Class R6,/quote/QTSRX?p=QTSRX,15.04
122,CHTTX,AMG Managers Fairpointe Mid Cap Fund Class N,/quote/CHTTX?p=CHTTX,25.29
123,NMMTX,Nuveen Large-Cap Value Fund Class R3,/quote/NMMTX?p=NMMTX,17.22
124,BPAIX,Boston Partners All Cap Value Fund Institutional Class,/quote/BPAIX?p=BPAIX,20.26
125,HWAIX,Hotchkis & Wiley Value Opportunities Fund Class Institutional,/quote/HWAIX?p=HWAIX,20.50
126,MIMSX,BNY Mellon Mid Cap Multi-Strategy Fund Class Investor,/quote/MIMSX?p=MIMSX,14.14
127,BVEFX,Becker Value Equity Fund Retail Class,/quote/BVEFX?p=BVEFX,14.66
128,FSDPX,Fidelity Select Materials Portfolio,/quote/FSDPX?p=FSDPX,52.92
129,HWAAX,Hotchkis & Wiley Value Opportunities Fund Class A,/quote/HWAAX?p=HWAAX,20.56
130,CSVIX,Calvert Small-Cap Fund Class I,/quote/CSVIX?p=CSVIX,21.98
131,PMEGX,T. Rowe Price Institutional Mid-Cap Equity Growth Fund,/quote/PMEGX?p=PMEGX,48.35
132,BVEIX,Becker Value Equity Fund Institutional Class,/quote/BVEIX?p=BVEIX,14.70
133,FMFCX,Fidelity Advisor Materials Fund Class C,/quote/FMFCX?p=FMFCX,50.82
134,DHLRX,Diamond Hill Large Cap Fund Class I,/quote/DHLRX?p=DHLRX,22.25
