abbrivate_funds,funds_title,stock_title,stock_href,abbrivate_stock,holding,,
AGOZX,Alger Small Cap Focus Fund Class Z (AGOZX),Insulet Corp,/quote/PODD?p=PODD,PODD,2.92%,,
AGOZX,Alger Small Cap Focus Fund Class Z (AGOZX),Mercury Systems Inc,/quote/MRCY?p=MRCY,MRCY,2.91%,,
AGOZX,Alger Small Cap Focus Fund Class Z (AGOZX),Bio-Techne Corp,/quote/TECH?p=TECH,TECH,2.90%,,
AGOZX,Alger Small Cap Focus Fund Class Z (AGOZX),Alteryx Inc Class A,/quote/AYX?p=AYX,AYX,2.85%,,
AGOZX,Alger Small Cap Focus Fund Class Z (AGOZX),Cognex Corp,/quote/CGNX?p=CGNX,CGNX,2.84%,,
AGOZX,Alger Small Cap Focus Fund Class Z (AGOZX),Natera Inc,/quote/NTRA?p=NTRA,NTRA,2.79%,,
AGOZX,Alger Small Cap Focus Fund Class Z (AGOZX),Nevro Corp,/quote/NVRO?p=NVRO,NVRO,2.76%,,
AGOZX,Alger Small Cap Focus Fund Class Z (AGOZX),Paycom Software Inc,/quote/PAYC?p=PAYC,PAYC,2.75%,,
AIAFX,Aberdeen Global Infrastructure Fund Class A (AIAFX),Williams Companies Inc,/quote/WMB?p=WMB,WMB,3.03%,,
AIAFX,Aberdeen Global Infrastructure Fund Class A (AIAFX),Enbridge Inc,/quote/ENB.TO?p=ENB.TO,ENB.TO,2.92%,,
AIAFX,Aberdeen Global Infrastructure Fund Class A (AIAFX),Kinder Morgan Inc Class P,/quote/KMI?p=KMI,KMI,2.84%,,
AIAFX,Aberdeen Global Infrastructure Fund Class A (AIAFX),Ferrovial SA,/quote/FER.BC?p=FER.BC,FER.BC,2.83%,,
AIAFX,Aberdeen Global Infrastructure Fund Class A (AIAFX),Cosan Logistica SA,/quote/RLOG3.SA?p=RLOG3.SA,RLOG3.SA,2.82%,,
AIAFX,Aberdeen Global Infrastructure Fund Class A (AIAFX),Vinci SA,/quote/DG.PA?p=DG.PA,DG.PA,2.73%,,
AIAFX,Aberdeen Global Infrastructure Fund Class A (AIAFX),Cellnex Telecom SA,/quote/CLNX.BC?p=CLNX.BC,CLNX.BC,2.43%,,
AIAFX,Aberdeen Global Infrastructure Fund Class A (AIAFX),CCR SA,/quote/CCRO3.SA?p=CCRO3.SA,CCRO3.SA,2.35%,,
AIAFX,Aberdeen Global Infrastructure Fund Class A (AIAFX),Crown Castle International Corp,/quote/CCI?p=CCI,CCI,2.21%,,
AIAFX,Aberdeen Global Infrastructure Fund Class A (AIAFX),PT Tower Bersama Infrastructure Tbk,/quote/TBIG?p=TBIG,TBIG,2.21%,,
AKREX,Akre Focus Fund Retail Class (AKREX),American Tower Corp,/quote/AMT?p=AMT,AMT,11.10%,,
AKREX,Akre Focus Fund Retail Class (AKREX),Mastercard Inc A,/quote/MA?p=MA,MA,10.66%,,
AKREX,Akre Focus Fund Retail Class (AKREX),Moody's Corporation,/quote/MCO?p=MCO,MCO,10.33%,,
AKREX,Akre Focus Fund Retail Class (AKREX),Visa Inc Class A,/quote/V?p=V,V,7.55%,,
AKREX,Akre Focus Fund Retail Class (AKREX),CarMax Inc,/quote/KMX?p=KMX,KMX,5.02%,,
AKREX,Akre Focus Fund Retail Class (AKREX),O'Reilly Automotive Inc,/quote/ORLY?p=ORLY,ORLY,4.88%,,
AKREX,Akre Focus Fund Retail Class (AKREX),SBA Communications Corp,/quote/SBAC?p=SBAC,SBAC,4.79%,,
AKREX,Akre Focus Fund Retail Class (AKREX),Roper Technologies Inc,/quote/ROP?p=ROP,ROP,4.19%,,
AKREX,Akre Focus Fund Retail Class (AKREX),Constellation Software Inc,/quote/CSU.TO?p=CSU.TO,CSU.TO,4.08%,,
AKREX,Akre Focus Fund Retail Class (AKREX),Markel Corp,/quote/MKL?p=MKL,MKL,3.89%,,
AKRIX,Akre Focus Fund Institutional Class (AKRIX),American Tower Corp,/quote/AMT?p=AMT,AMT,11.10%,,
AKRIX,Akre Focus Fund Institutional Class (AKRIX),Mastercard Inc A,/quote/MA?p=MA,MA,10.66%,,
AKRIX,Akre Focus Fund Institutional Class (AKRIX),Moody's Corporation,/quote/MCO?p=MCO,MCO,10.33%,,
AKRIX,Akre Focus Fund Institutional Class (AKRIX),Visa Inc Class A,/quote/V?p=V,V,7.55%,,
AKRIX,Akre Focus Fund Institutional Class (AKRIX),CarMax Inc,/quote/KMX?p=KMX,KMX,5.02%,,
AKRIX,Akre Focus Fund Institutional Class (AKRIX),O'Reilly Automotive Inc,/quote/ORLY?p=ORLY,ORLY,4.88%,,
AKRIX,Akre Focus Fund Institutional Class (AKRIX),SBA Communications Corp,/quote/SBAC?p=SBAC,SBAC,4.79%,,
AKRIX,Akre Focus Fund Institutional Class (AKRIX),Roper Technologies Inc,/quote/ROP?p=ROP,ROP,4.19%,,
AKRIX,Akre Focus Fund Institutional Class (AKRIX),Constellation Software Inc,/quote/CSU.TO?p=CSU.TO,CSU.TO,4.08%,,
